icao,name,lat,lon,runways,ils
EGDC,"Royal Marines Base Chivenor",51.0894390616667,-4.15270989166667,3,1
EGDL,"Raf Lyneham",51.5053925,-1.992419005,2,1
EGDM,"Boscombe Down",51.153230895,-1.74544444166667,3,1
EGFF,"Cardiff",51.39656475,-3.343201845,1,2
EGGD,"Bristol International",51.382657715,-2.71891769,1,2
EGGP,"Liverpool",53.333632235,-2.8497694,1,2
EGGW,"London Luton",51.87462863,-0.36845026,1,2
EGHD,"Plymouth",50.42281112,-4.10588999,1,1
EGHH,"Bournemouth",50.78006542,-1.842532825,1,2
EGHI,"Southampton",50.9502555,-1.3568055,1,1
EGHQ,"Newquay",50.44075878,-4.995334195,1,1
EGJB,"Guernsey",49.4349545,-2.6019695,1,2
EGJJ,"Jersey",49.20796367,-2.19529431,1,2
EGKB,"Biggin Hill",51.32670994,0.0328758275,2,1
EGKK,"London Gatwick",51.148753,-0.1924725,2,2
EGLC,"London City",51.505230605,0.05517525,1,2
EGLF,"Farnborough",51.27570368,-0.776589285,1,2
EGLL,"London Heathrow",51.468301015,-0.457598533333333,3,4
EGMC,"Southend",51.571442735,0.69558279,1,1
EGMD,"Lydd",50.956171425,0.93914688,1,1
EGMH,"Manston",51.3421375,1.3461945,1,1
EGNH,"Blackpool",53.772382595,-3.03260877333333,3,1
EGNJ,"Humberside",53.5754526,-0.348192025,2,1
EGNL,"Barrow Walney Island",54.1280624775,-3.26327984375,4,1
EGNM,"Leeds Bradford",53.86602693,-1.6607778,1,2
EGNO,"Warton Aerodrome",53.74493955,-2.883840365,1,1
EGNR,"Hawarden",53.17813,-2.97766389,1,2
EGNS,"Isle Of Man Ronaldsway",54.08283291,-4.6254751975,2,2
EGNT,"Newcastle",55.0379215,-1.68983288,1,2
EGNV,"Durham Tees Valley",54.5091905,-1.42943288,1,2
EGNX,"East Midlands",52.830999195,-1.3281549,1,2
EGOS,"Raf Shawbury",52.79535075,-2.668726,2,1
EGOV,"Raf Valley",53.2485283266667,-4.53647285333333,3,1
EGPA,"Kirkwall",58.9580834425,-2.9030152825,2,2
EGPB,"Sumburgh",59.8781342316667,-1.29109677166667,3,1
EGPD,"Aberdeen Dyce",57.20362292625,-2.19901752625,4,2
EGPE,"Inverness",57.5433176783333,-4.05505251166667,3,2
EGPF,"Glasgow",55.8712638316667,-4.42818276666667,3,2
EGPH,"Edinburgh",55.94868539,-3.3597180625,2,2
EGPK,"Prestwick",55.50230163,-4.5883626975,2,2
EGPN,"Dundee",56.45241,-3.02582952,1,1
EGQK,"Raf Kinloss",57.64941,-3.560597,1,1
EGQL,"Raf Leuchars",56.37497975,-2.86384732,2,1
EGQS,"Raf Lossiemouth",57.70460973,-3.3359692775,4,1
EGSC,"Cambridge",52.204475745,0.176449865,3,1
EGSH,"Norwich",52.676860245,1.2844927175,2,1
EGSS,"London Stansted",51.885096825,0.23496194,1,2
EGTC,"Cranfield",52.0709701175,-0.62066675,4,1
